date,long,lat,magnitude,depth
12/10/2018,176.9538603,-38.73884024,2.4,51
12/10/2018,174.0857614,-41.67236978,1.5,19
12/10/2018,176.3686683,-38.16418669,2.5,127
12/10/2018,167.2600497,-45.19198337,2.4,14
12/10/2018,175.1665521,-39.1334743,2.1,10
12/10/2018,174.4976607,-39.64103784,2.4,112
12/10/2018,173.4687288,-42.47698889,2.7,27
12/10/2018,173.4013572,-42.42997351,2,16
12/10/2018,177.5008302,-37.80762146,2.1,33
12/10/2018,178.3542807,-38.4103356,2.4,37
12/10/2018,175.8227043,-40.56888767,1.5,25
12/10/2018,176.4530541,-40.36603314,2.2,17
12/10/2018,173.6838226,-39.27602386,2.9,12
12/10/2018,174.1418511,-41.66901232,2.2,13
12/10/2018,174.1226557,-41.67345354,2.1,21
12/10/2018,176.6470991,-39.87104753,1.9,32
12/10/2018,176.7911987,-39.36328125,2.6,28
12/10/2018,174.0123749,-41.92594528,3.3,13
12/10/2018,176.2914568,-38.84188763,2.5,97
12/10/2018,173.6807361,-42.28456429,2.7,31
12/10/2018,167.8581848,-44.45921326,3.5,5
12/10/2018,174.7012596,-41.12001147,2.6,29
12/10/2018,176.3291633,-40.36399132,1.8,25
12/10/2018,176.04844,-38.54271762,2.7,125
12/10/2018,174.8893061,-40.1115492,2.6,32
12/10/2018,176.8147757,-39.82111041,1.7,25
12/10/2018,173.6564357,-42.28051972,2.8,31
11/10/2018,174.2606598,-41.61744956,1.9,30
11/10/2018,178.3634641,-38.64710524,2.2,25
11/10/2018,175.7299462,-39.40115216,0.8,11
11/10/2018,175.1591861,-39.21246362,1.3,21
11/10/2018,178.3661304,-37.45639691,2.8,34
11/10/2018,176.1981476,-39.64914904,1.8,27
11/10/2018,176.6868342,-40.00223365,1.6,32
11/10/2018,174.3410135,-41.49052587,1.6,16
11/10/2018,176.4140343,-38.63520788,2.1,12
11/10/2018,176.3088116,-40.356715,2,30
11/10/2018,174.3780325,-41.70097225,1.7,5
11/10/2018,176.4403642,-40.58482007,2.2,25
11/10/2018,174.3337868,-41.74971944,1.7,11
11/10/2018,174.3072937,-41.71974825,1.7,9
11/10/2018,171.0787474,-43.27384035,2.2,5
11/10/2018,173.9282414,-42.25672708,2.3,45
11/10/2018,176.1460393,-38.81910061,2.1,27
11/10/2018,173.1604462,-42.52916336,4.4,5
11/10/2018,177.7372678,-39.0243681,1.6,11
11/10/2018,178.6090659,-38.17671108,2.2,30
11/10/2018,178.4492775,-37.57223709,2.3,17
11/10/2018,176.6811635,-38.5821577,2.1,50
11/10/2018,176.7376395,-38.44223439,2.2,123
